,DATE,sales@t+1,,,,
,2023-08-13,606119.0769230770,,,,
,2023-08-20,606198.5641025640,,,,
,2023-08-27,606278.0512820510,,,,
,2023-09-03,606357.5384615390,,,,
,2023-09-10,606437.0256410260,,,,
,2023-09-17,606516.5128205130,,,,
,2023-09-24,606596.0,,,,
,2023-10-01,606596.0,,,,
,2023-10-08,606596.0,,,,
,2023-10-15,606596.0,,,,
,2023-10-22,606596.0,,,,
,2023-10-29,606596.0,,,,
,2023-11-05,606596.0,,,,
,2023-11-12,606596.0,,,,
,2023-11-19,606596.0,,,,
,2023-11-26,606596.0,,,,
,2023-12-03,606596.0,,,,
,2023-12-10,606596.0,,,,
,2023-12-17,606596.0,,,,
,2023-12-24,606596.0,,,,
,2023-12-31,606596.0,,,,
,2024-01-07,606596.0,,,,
,2024-01-14,606596.0,,,,
,2024-01-21,606596.0,,,,
,2024-01-28,606596.0,,,,
